"Блок справки";"Раздел справки";"Ссылка на раздел справки";"Видео №";"Название видео";"Длительность видео";"Опубликовано";"Тайм-код";"Секунды";"Тема эпизода";"Ссылка на тайм-код";"Ссылка на видео"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"09:16";"556";"Новый интерфейс кромок: нумерация граней";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=556";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"10:42";"642";"Замена ящиков на сцене и автопересчёт";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=642";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"12:19";"739";"Шаблоны не только для ящиков";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=739";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"16:32";"992";"Группы материалов: зачем нужны";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=992";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"19:06";"1146";"Настройка группы в конфигураторе";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=1146";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"23:20";"1400";"Почему нельзя просто удалить группу";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=1400";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"26:19";"1579";"Сброс групп и массовые операции";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=1579";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"29:30";"1770";"3D-объекты: стол, стулья, техника";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=1770";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"34:36";"2076";"Ценообразование на ЛДСП: три варианта";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2076";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"38:30";"2310";"Массовое обновление цен через Excel";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2310";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Интеграции и API";"Синхронизация по API";"https://help.planplace.online/sinhronizaciya-po-api/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"41:56";"2516";"Привязка к прайс-листу и 1С";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2516";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"44:17";"2657";"Вопрос: подсветка и пропилы в корпусе";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2657";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Секции и наполняемые секции";"https://help.planplace.online/sekcii-i-napolnyaemye-sekcii/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"47:33";"2853";"Вопрос: наполнение шкафов";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2853";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"49:17";"2957";"Вопрос: глубина ящиков в шаблонах";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=2957";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"FAQ и поддержка";"Вопросы и ответы (FAQ)";"https://help.planplace.online/voprosy-otvety/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"51:10";"3070";"Вопрос: оффлайн-версия PlanPlace";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=3070";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"54:35";"3275";"Итоги и анонс следующего вебинара";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=3275";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Сцена, спецификация и экспорт";"Настройка меню планировщика";"https://help.planplace.online/nastroyka-menyu-planirovschika/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"00:00";"0";"Введение: настройка меню, иконок и интерфейса конструктора";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=0";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"02:15";"135";"Настройки Базис: подрезка кромки и передача размеров деталей";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=135";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Цены, прайсы и наценки";"Доступные типы расчётов";"https://help.planplace.online/dostupnye-tipy-raschetov/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"04:30";"270";"Расчёт материалов: штуки, погонные метры, квадратные метры — в чём разница";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=270";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"07:30";"450";"Цены модулей: фиксированная цена в поле «Размеры» и расчётная через наполнение";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=450";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Цены, прайсы и наценки";"Доступные типы расчётов";"https://help.planplace.online/dostupnye-tipy-raschetov/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"12:45";"765";"Влияние расчёта ЛДСП «поштучно» на отображение цен в проекте";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=765";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"16:32";"992";"Группы материалов: глобальные и локальные настройки, переопределение на уровне модуля";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=992";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"19:06";"1146";"Флаги «локальная группа» и «заблокировать изменения»: когда и зачем использовать";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=1146";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"FAQ и поддержка";"Вопросы и ответы (FAQ)";"https://help.planplace.online/voprosy-otvety/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"22:00";"1320";"Сброс настроек материалов: для одного модуля или всей коллекции";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=1320";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"26:19";"1579";"Управление видимостью материалов: как скрыть лишнее и оставить только нужное";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=1579";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"29:30";"1770";"Работа с готовыми 3D-моделями: импорт, группировка, замена и настройка количества";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=1770";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"31:47";"1907";"Переменные в 3D-моделях: как управлять параметрами объектов через конфигуратор";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=1907";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Интеграции и API";"Синхронизация по API";"https://help.planplace.online/sinhronizaciya-po-api/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"34:35";"2075";"Блок ответов на вопросы: тарифы, валюты, фрезеровки, пазы, спецификации, API";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2075";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"37:49";"2269";"Новые формы деталей (сотка, радиус): расчёт по площади и привязка материалов";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2269";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Обзор и старт";"Код конструктора и основные параметры";"https://help.planplace.online/kod-konstruktora-i-osnovnye-parametry/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"39:46";"2386";"Базовые настройки для новичков: логотип, интеграция на сайт, код конструктора";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2386";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Сцена, спецификация и экспорт";"Настройка меню планировщика";"https://help.planplace.online/nastroyka-menyu-planirovschika/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"41:19";"2479";"Раздел «Настройки конструктора»: показ цен, наценки, защита PDF, кнопки сцены";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2479";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"45:33";"2733";"Импорт/экспорт 3D-моделей: форматы, текстуры, регистронезависимый поиск";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2733";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"49:17";"2957";"Цены на сменяемые материалы (обивка, ткани): как настроить расчёт";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=2957";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"51:10";"3070";"Наполняемые секции: брючницы, вешала, обувницы — настройка через шаблоны";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=3070";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Цены, прайсы и наценки";"Правила расчёта цен (наценки)";"https://help.planplace.online/pravila-rascheta-cen-nacenki/";"6";"PlanPlace вебинар - часто задаваемые вопросы";"54:54";"2025-10-24T12:22:10";"53:18";"3198";"Ценообразование: текущие ограничения и планы по наценкам для групп и дилеров";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/?t=3198";"https://rutube.ru/video/13f1a45f0f72b89bf2d51214e589973a/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:04:09";"249";"Цели встречи: помощь в освоении PlanPlace, обзор функционала и ресурсов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=249";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:11:17";"677";"Для чего PlanPlace: ускорение работы, снижение брака и ошибок, упрощение обучения сотрудников";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=677";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:12:37";"757";"Основные возможности: визуальный редактор, мгновенный расчет сметы, настройка правил для продавцов и клиентов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=757";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:15:02";"902";"Интеграция с БАЗИС-Мебельщик, ASAI.Cut, ASAI.Nest, маркетплейсами (Wildberries, Ozon), 1С, Битрикс24 и вашим сайтом.";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=902";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:18:42";"1122";"Уровень квалификации пользователей: от новичков до опытных технологов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=1122";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Сцена, спецификация и экспорт";"Интерфейс сцены";"https://help.planplace.online/interfeys-sceny/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:22:57";"1377";"Демонстрация интерфейса и возможностей планировщика: работа с гардеробными, шкафами, кроватями, офисной мебелью";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=1377";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:30:42";"1842";"Настройка материалов, фасадов, ручек, ящиков и опор с возможностью массового изменения";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=1842";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:36:30";"2190";"Формирование спецификаций и экспорт в БАЗИС-Мебельщик";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=2190";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Код конструктора и основные параметры";"https://help.planplace.online/kod-konstruktora-i-osnovnye-parametry/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:39:02";"2342";"Личный кабинет: управление заявками, настройка сайта, прием заказов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=2342";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:45:10";"2710";"Глобальные переменные для массового изменения параметров мебели";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=2710";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Шаблоны, секции и присадки";"Секции и наполняемые секции";"https://help.planplace.online/sekcii-i-napolnyaemye-sekcii/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"00:52:50";"3170";"Конструктор изделий: создание и редактирование модулей, секций, деталей";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=3170";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:00:03";"3603";"Работа с переменными и ограничениями размеров";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=3603";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:14:03";"4443";"Импорт и экспорт плитных материалов и кромок через Excel для удобного обновления прайсов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=4443";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Шаблоны, секции и присадки";"Присадки";"https://help.planplace.online/prisadki/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:16:44";"4604";"Настройка шаблонов присадок (отверстий) и их позиционирование";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=4604";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:24:29";"5069";"Демонстрация экспорта проекта в базис мебельщик и работа с ним";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=5069";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:29:49";"5389";"Экономический эффект от использования PlanPlace: сокращение затрат на технологов, ускорение оформления заказов";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=5389";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:36:03";"5763";"Вопросы и ответы: загрузка каталогов из базиса, внедрение под ключ, сроки и стоимость";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=5763";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Обзор и старт";"Обзор системы и роли";"https://help.planplace.online/obzor-sistemy-i-roli/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:39:54";"5994";"Возможность добавления услуг (доставка, установка) и коммерческих предложений в проект";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=5994";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"7";"Как PlanPlace меняет мебельный бизнес: обзор и демонстрация для новых пользователей";"1:28:16";"2026-03-16T22:41:51";"01:41:45";"6105";"Управление ценами и скидками: кто и как может менять стоимость в проекте";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/?t=6105";"https://rutube.ru/video/6e4c878b68dc2cbd368a68de7f603789/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"00:00";"0";"Постановка задачи: как назначить одну цену для нескольких декоров или группы материалов одного производителя.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=0";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"00:33";"33";"Создание позиций прайса для плитного материала.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=33";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"01:38";"98";"Привязка позиций прайса к конкретным материалам.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=98";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Сцена, спецификация и экспорт";"Спецификация и отправка на расчёт";"https://help.planplace.online/specifikaciya-i-otpravka-na-raschet/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"04:56";"296";"Проверка работы. Размещение двух модулей с разным корпусным материалом и проверка спецификации на соответствие заданным категориям.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=296";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Цены, прайсы и наценки";"Правила расчёта цен (наценки)";"https://help.planplace.online/pravila-rascheta-cen-nacenki/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"06:51";"411";"Настройка наценки. Добавление глобального коэффициента наценки на плитный материал.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=411";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Цены, прайсы и наценки";"Правила расчёта цен (наценки)";"https://help.planplace.online/pravila-rascheta-cen-nacenki/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"07:43";"463";"Логика умножения наценки. Разбор настройки «Не умножать»: как сделать так, чтобы наценка применялась отдельно от общей наценки проекта.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=463";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"8";"Как поставить цену в разных плитных материалах (например, ЛДСП) с привязкой ""за категорию""";"8:47";"2026-03-31T16:28:35";"08:41";"521";"Заключение. Итоги настройки: цена ставится одна за несколько позиций, а не за каждую отдельно.";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/?t=521";"https://rutube.ru/video/9c650b4518ddb0f186b7f24831dc9e0c/"
